tweet_id,processed_tweet
1,looking current situation country said bjp political party anymore cult
2,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
3,looking current situation country said bjp political party anymore cult
4,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
5,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
6,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
7,looking current situation country said bjp political party anymore cult
8,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
9,tmc writes ec pm picture covid19 vaccination certificate trinamool congress wrote
10,india_with_pm_modi hear heart beat poor feel son poor mother live life trodden respect
11,looking current situation country said bjp political party anymore cult
12,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
13,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
14,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
15,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
16,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
17,quad focus pm narendra modi japan pm suga yoshide hold talks phone
18,join celebrating anniversary shri sunil gavaskar jis test debut indeed momentous occasion
19,looking current situation country said bjp political party anymore cult
20,narendra modi popular democratically elected leader world since india
21,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
22,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
23,india_with_pm_modi hear heart beat poor feel son poor mother live life trodden
24,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
25,tripura experiencing change double engine government pm narendra modi
26,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
27,best part narendra modi go temples elections coz wears religion
28,prime minister narendra modi releases volumes manuscript commentaries scholars shlokas bhagavad gita
29,looking current situation country said bjp political party anymore cult
30,best part narendra modi go temples elections coz wears religion
31,looking current situation country said bjp political party anymore cult
32,narendra modi popular democratically elected leader world since india
33,looking current situation country said bjp political party anymore cult
34,dr manmohan singh stronger prime minister narendra modi agree
35,looking current situation country said bjp political party anymore cult
36,looking current situation country said bjp political party anymore cult
37,breaking first quad virtual summit march prime minister narendra modi participating
38,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
39,looking current situation country said bjp political party anymore cult
40,new delhi prime minister narendra modi wednesday lauded central industrial security force raising
41,bjps publicity cr plane travel cost cr bjp office delhi cr narendra modi stadium cr statue
42,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
43,looking current situation country said bjp political party anymore cult
44,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
45,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
46,looking current situation country said bjp political party anymore cult
47,tripura experiencing change double engine government pm narendra modi
48,looking current situation country said bjp political party anymore cult
49,prime minister narendra modi greets cisf personnel raising day role furthering national safety progress
50,looking current situation country said bjp political party anymore cult
51,tripura experiencing change double engine government pm narendra modi via namo app
52,looking current situation country said bjp political party anymore cult
53,quad focus pm narendra modi japan pm suga yoshide hold talks phone
54,hon prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
55,new edition examwarriors touches themes like mental health goalsetting going beyond classroom
56,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
57,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
58,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
59,quad focus pm narendra modi japan pm suga yoshide hold talks phone
60,modi shah model nominated working bjp trivendra slogan kaput fadnavis
61,looking current situation country said bjp political party anymore cult
62,looking current situation country said bjp political party anymore cult
63,looking current situation country said bjp political party anymore cult
64,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
65,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
66,modi shah model nominated working bjp trivendra slogan kaput fadnavis
67,looking current situation country said bjp political party anymore cult
68,administration insulted us powers prime minister narendra modi promised
69,looking current situation country said bjp political party anymore cult
70,dear pm narendra modi sir request kindly allow vaccination major affected area india
71,u know minorities treated
72,tripura experiencing change double engine government pm narendra modi via namo app
73,bjp cult narendra modi rage ok kangana
74,looking current situation country said bjp political party anymore cult
75,looking current situation country said bjp political party anymore cult
76,looking current situation country said bjp political party anymore cult
77,looking current situation country said bjp political party anymore cult
78,looking current situation country said bjp political party anymore cult
79,looking current situation country said bjp political party anymore cult
80,looking current situation country said bjp political party anymore cult
81,looking current situation country said bjp political party anymore cult
82,looking current situation country said bjp political party anymore cult
83,looking current situation country said bjp political party anymore cult
84,looking current situation country said bjp political party anymore cult
85,looking current situation country said bjp political party anymore cult
86,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
87,best part narendra modi go temples elections coz wears religion
88,looking current situation country said bjp political party anymore cult
89,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
90,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
91,looking current situation country said bjp political party anymore cult
92,attended meeting national committee commemoration anniversary indias independence
93,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
94,looking current situation country said bjp political party anymore cult
95,best part narendra modi go temples elections coz wears religion
96,subramanian swamy says bjp must address growing consensus prime minister narendra image
97,looking current situation country said bjp political party anymore cult
98,pm narendra modi buys tribal painting womens day support nari shakti via namo app
99,international womens day pm modi buys products celebrate enterprise creativity indias
100,looking current situation country said bjp political party anymore cult
