tweet_id,tweet_text
1,"RT @Andengclownery: My only big four of this batch!

HAPPY 3MONTHS KODREA https://t.co/Pcar5pRcEO"
2,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
3,@TMbhardy Akanke happy new year
4,"RT @Louis_Tomlinson: @skyleridk Hows this , Larry is the biggest load of bullshit I've ever heard. I'm happy why can't you accept that."
5,"RT @bttroffwithart: Happy Birthday my Daisy, my Only💜🌼

#킹태연생일축하해 #OurDaisyTaeyeonDay #TAEYEON #태연 https://t.co/xABAGbF8gM"
6,"RT @NewHopeClub: Happy birthday G, love ya x https://t.co/bWR4kuFC0D"
7,"RT @imVkohli: Happy birthday to the greatest ever. The fearless king. Sir viv 🙌👑
@ivivianrichards"
8,"RT @thedeepestmsgs_: This time I just want to be happy, not hurt, not confused, not stressed.. just happy."
9,"RT @EllaWWOfficial: Welcome sa mga new members!

HAPPY 30K FOLLOWERS ELLA"
10,"@femi_themayor Happy birthday, huzzbanddd. God bless youuu.❤"
11,RT @Forever23__: Happy Charter Day To The THUG BRUHZ ARFFFFFF YESSAH
12,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
13,"RT @andrea_admirer: Happy Birthday ninong liofer :)

LIOFER at22 https://t.co/ypm7mIAap6"
14,"RT @mustapha_aishah: Please help me manage these, long story 🥲
Happy convocation to me🥺
BNSc(first class hons)✅
#regalsetof2020 https://t.c…"
15,RT @cxlestialbronze: HAPPY BIRTHDAY BUCKY https://t.co/uHae3pmzXp
16,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
17,"RT @nasefreezer: first time ko mag try ng gantong art style habahshd HAPPY 1M VIEWS WHAT❓

REQUEST @SB19Official @MTV #FridayLivestream 

S…"
18,RT @Salvesayson: Be with someone who makes you happy.   #ALDUBatADNEquals
19,"RT @qingchunyouni_: #YouthWithYou3 Today is also the birthday of Evaldo~Happy birthday! Hope his career could go smoothly this year~
#iQIYI…"
20,"RT @JAiur_14: The pictures says it all❣ ..
😭😭😭 so happy for them💕

Enjoy your stay at home babies.

WELCOME HOME J-LINE 
#トレジャー #트레저 #TREAS…"
21,"@Zanabe13 @Rose70022 Good morning Ana, have a nice day my dear friend. Happy wednesday for you.🐈🏵💮🌸🌼🌻 https://t.co/MrwsmtG4cg"
22,@ChenRcj happy bdayyyy 💖💖💖
23,I really had a dream that I was in Dubai. I just remember being so happy😭 bitch when I tell you I woke up mad asf. 😒
24,"RT @ralphellains: ay pak oh may pa tp 

congrats sweetheart @ellacayabyab_ , you deserve it!

HAPPY 30K FOLLOWERS ELLA"
25,"RT @SB19PATROL: HAPPY 1MILLION VIEWS WHAT MV!! 🎉

REQUEST @SB19Official @MTV #FridayLivestream 

STREAM SB19WHAT 
#SB19WhatMVOutNow 
#SB19"
26,"RT @DogecoinRise: Memes Make People Happy. 
#Dogecoin = Memes. 
🌎🚀🌕 #DogecoinRise"
27,RT @ErlingHaaland: Happy to reach 💯 career goals. Ready for the next 💯💪🏼 https://t.co/qVTEFRyk3O
28,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
29,"RT @MTVUK: wish Yoongi happy birthday and i'll give you a slice of cake !!!!!🍰  

#HappyBirthdaySUGA🎈 https://t.co/pwFQ6M1nvF"
30,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
31,"RT @TinyTANofficial: May love and courage always be with you, on this most silent of nights.

#Happy_SUGA_Day #TinyTAN #Birth_Flower #Larch…"
32,RT @goal: Dortmund fans aren't happy about reported changes to the Champions League 🙅‍♂️ #UCL https://t.co/l7WF6HeSi3
33,"RT @Kiziphotograph7: Happy International Women’s Day
#HappyInternationalWomensDay2021 https://t.co/rWQAg36Fp4"
34,"Noah I love you life, thank you for making me happy, I am very proud of you, I love you love.✍️💌
@NoahUrrea https://t.co/XVOn02lX0x"
35,"RT @CoachCrassOJC: Exactly 10 years ago my man @SolomonBozeman took me on my first NCAA tournament ride, then 2 years ago the players he re…"
36,"Happy Brand New 365 Mr. Peace &amp; Love  @Dulli__ 🎉🎉
To the top dawg😎🍾"
37,RT @haileygmarie: i love my bf so much. i haven’t felt this happy in so long 😁
38,"i feel happy that it’s my birthday for the first time in years :,))) gn"
39,RT @FILMDILFS: happy birthday oscar isaac https://t.co/xvVWHHJ0su
40,RT @DixPeyton: happy international women’s day to her https://t.co/p30nh2OucN
41,RT @FKAkai_: happy international women’s day to the baddest bitches alive https://t.co/2ysgTBAwXk
42,"When you're happy,"
43,"@kweeenella Dressed up and straight hair

HAPPY 30K FOLLOWERS ELLA"
44,"im always here for you !
   and i really mean that . whenever you need to talk im more than happy to . https://t.co/FA3bHbKAA5"
45,RT @ssajayi: Happy international women’s day to these two women. https://t.co/CzPTTbKFVG
46,All I want is girlfriend happy and warm and shotas to be spoiled.
47,RT @da_keebabyy01: I can sit in my room for hours and be happy as hell lol. Y’all need to learn how to be alone.
48,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
49,@BTS_twt Happy Birthday Yoongi!
50,@temitopepr Happy birthday
51,"RT @aegyodobby: they're the happiest now, i know. i'm so happy for them too. j-line is going back home 😭 https://t.co/yX1uQnKQdl"
52,"Happy first sunday of lent, from my side"
53,The moment we all of them enjoyed. Happy Birthday mama https://t.co/fbqlHKPGtJ
54,"RT @hblswag: Haruto reunited with his family. I'm so happy. 🤗 Also, welcome home, Ruru 
ctto
#TREASURE @treasuremembers 
WELCOME HOME J-LIN…"
55,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
56,"RT @iamMaryamRosy: Happy To Release Special Birthday for Our Thalapathy Fan @vijayblood2 Birthday 🥳🎂🎊🎉

Designs By @ThalapathyNiyas  😍😎💥

W…"
57,"RT @itsRidhs: @awaazzz Good morning brother!
Have a happy happy day.
No Politics In SSR Case"
58,"RT @EllaWWtrends: Reminder.

Don't forget to use our tag everytime you will tweet. Also, three words every tweet. 

HAPPY 30K FOLLOWERS ELLA"
59,RT @VH1PNUT___: DO WHATEVER MAKES YOU HAPPY. JUST DON'T SMOKE CRACK
60,"RT @FallonTonight: Happy birthday, SUGA! 🥳💜

#HappyBirthdayYoongi https://t.co/rSil9LKK3F"
61,RT @coconut_cam: GoPro Charlie! Happy lion dog TongueOut Tuesday! 🐶👅🦁👅🤪😎 #tongueouttuesday #coconutcam #goprodogs #goprocharlie #shihtzu #l…
62,Happy Day By Tim Hughes - RMX By Dj Subb
63,@AngelaLynnette_ Happy birthdaaaay Ang!!!!!
64,"RT @EllaWWOfficial: Welcome sa mga new members!

HAPPY 30K FOLLOWERS ELLA"
65,RT @milkymengs: JAPANESE FANSITES ARE SO HAPPY TOO. IT'S THEIR TIME 📸 ♥️
66,"RT @yedaminoona: Mashiho can finally play with Kotetsu again.
Asahi can now personally bond with his baby sister.
Haruto can eat his mom's…"
67,@MfokaTotoVuka Happy birthday
68,"RT @aegyodobby: mashiho's eyes don't lie, he's so happy 🥺🥺
#마시호 #マシホ @treasuremembers https://t.co/kwRXPskspC"
69,RT @milkymengs: mashiho is the one and only child being away from his parents for a years and now finally home. His parents must be so happ…
70,"RT @akoposiczarina: not happy, not sad. just empty, like my wallet."
71,"RT @konic_keso: happy lunchtime to my fellow filokonics. have you been streaming? share me your setup!

IKON MAKES ME PROUD
#iKON #아이콘 @YG_…"
72,"HAPPY 1M VIEWS @SB19Official
#SB19WHATMVOutNow 
https://t.co/VeAYtvmQud"
73,"RT @achyuta_samanta: I was raised by my mother, a feminist and a bold woman who always taught me to dream big. This day belongs to all the…"
74,RT @bigdaddyvinz: You can be single and still be HAPPY! Don't let anyone decieve you
75,"RT @kweeenella: This or That. Beauty edition.
Reply with a tag

HAPPY 30K FOLLOWERS ELLA https://t.co/1RTYeTI3Ti"
76,"RT @ValaAfshar: To reduce stress, start sooner. To be happy, learn to finish what you started."
77,"Tenma &amp; Sasha Mangá Moment

A redraw of a very cute scene between these two ❤️

Happy birthday, Sasha!

#SaintSeiya… https://t.co/QQuEqTzzGu"
78,"RT @lai_guanlin2001: He's really so happy while recording, I'm so proud of Kuanlin ❤️ he really loves singing https://t.co/ETlvKFv6OL"
79,"RT @ChristusX: Happy one million views 'What?'

In just 17 hours and 52 minutes. 🔥

REQUEST @SB19Official @MTV #FridayLivestream 

STREAM S…"
80,RT @rashtrapatibhvn: I am happy to know that 65 percent of the students in this university are women. Our daughters and sisters are breakin…
81,RT @Fitz_mash: Happy birthday @__Modhanalo blessings and all things dope to you
82,Happy 52nd B-Day to Journalist Cecily Tynan!
83,RT @kevinjonas: Happy for my friend getting into the NFT space.  WooHooo to the moooooon 🚀
84,"RT @httphearts: whatever i'm doing 5 years from now, i just hope i'm happy."
85,"@deviuswastaken you.
yes u
thamk u for always being there even when im a wreck ilysm /p i cant describe itf
seeing… https://t.co/DzYlNJ4Y1a"
