tweet_id,tweet_text
61,RT @milkymengs: JAPANESE FANSITES ARE SO HAPPY TOO. IT'S THEIR TIME 📸 ♥️
62,RT @shihofile: eyes don't lie and it shows how happy mashiho is 🥺 https://t.co/7dZQf1QHK2
63,@ChitranjanGaga1 Happy birthday 🌹
64,"RT @ActualAero: Today's the only day you can retweet this!

Happy #Mar10Day 🍄 https://t.co/fxPsBXK8VX"
65,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
66,"RT @Louis_Tomlinson: @skyleridk Hows this , Larry is the biggest load of bullshit I've ever heard. I'm happy why can't you accept that."
67,RT @TravelToEritrea: This is Saba First lady of #Eritrea. I was very young when my sister told us she was taking evening classes with Saba.…
68,RT @Colby1k_: Blessed to see another year 🤞🏾 Happy glo day to me🥳
69,"RT @itsLifeLines: i’m not sad, but i’m also not happy"
70,"RT @hannieebeear: @ellamymain Sweet po hehe

HAPPY 30K FOLLOWERS ELLA"
71,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
72,RT @FILMDILFS: happy birthday oscar isaac https://t.co/xvVWHHJ0su
73,"RT @BingSwap: 📣We are Happy to Announce BingSwap Official Airdrop is Now Live

🔷People who trade before 25 Feb on #Pancakeswap they are eli…"
74,"RT @Hubeeert7: the smallest things make me happy, you don’t even know"
75,"RT @KSurendra41: @UPRERAofficial
@dmgbnagar
@myogiadityanath
@HardeepSPuri @MoHUA_India
Moments of pride. Builders are happy in your tenure…"
76,"you pulled the weight and left me standing here alone
i couldn't believe that you'd be happy on your own"
77,RT @BvsRavi: Happy birthday dear @ganeshbandla Anna ! God bless you with a “POWER”ful blockbuster very soon!!
78,Today am celebrating these two brothers and friends of mine. Happy birthday may you live many more years. Thank you… https://t.co/8yUJti1BSi
79,@ghaidaaf104 Happy birthday🎈❤️
80,"@devilsbackbone_ he take a sip of his wine and place the glass on the coffee table before turning to you.

""why wou… https://t.co/rMQRzROdBO"
81,"RT @AmyMacedo: Honestly if you take a moment to make a list of the things you’re grateful for in your life, you’ll realize just how fucking…"
82,Kindly make this a strict rule not to keep children in ur lap while driving. That makes ur child happy for a while… https://t.co/aR0a4gbRF9
83,"HAPPY 30K FOLLOWERS ELLA
@ellacayabyab_"
84,@ZinShys Happy birthday zinat 🔥🖤
85,RT @ShyKigurumiBoy: My pal @NuggetsResort was happy to help me draw up concept art for my Ditto zentai suit. It'll be very simple; basicall…
86,@xRedCap For the reveal itself I imagine they'd take the safe route with a remix of Full Force but I'd be extra happy we get anything lol
87,"RT @manifestnow1111: Affirm: 

It is my right to be rich, happy, and successful. Money flows to me freely, copiously, and endlessly."
88,@hamsterTypes Whatever makes mama happy!!
89,"Happy birthday to youuu!!! @PenielShin

#마이_발렌타인_프니_데이
#ITS_PENIEL_DAY https://t.co/76iSaTrqoK"
90,RT @MTV: HAPPY BIRTHDAY to @BTS_twt's very own #SUGA! 💜🌟 https://t.co/P4GjgbOPEB
91,Happy Birthday @SanjayRattaninc https://t.co/hKX5rm37tG
92,"RT @Abbeytips101: Happy birthday to one of my top Dawg. @pbtips_ 
Professional tipster 🦍🦍
May your days be long bro.
Continue to thrive and…"
93,A Happy Place ! The HangAwt 1632🔥🔥🚀🚀 https://t.co/Yc5aznc3xy
94,@Demialaga @_olowoayo Happy birthday
95,@Ubfreaky happy belated birthday Broooooo! 🤘
96,RT @kjhnieI: happy anniversary to this minhyun https://t.co/rXLxcPT0dz
97,"RT @OnePieceAnime: Happy birthday also to Emperor of the Sea, Red-Haired Shanks 🏴‍☠️🍻 https://t.co/duyCIey63q"
98,RT @cheencao: happy womens day to all daughters who inherit their dad's anger issues
99,PLSSSS YOSHI BE HAPPY https://t.co/fjRGguVoEe
100,"RT @stanmygirl: @kweeenella Text, spicy, oreos

HAPPY 30K FOLLOWERS ELLA"
