tweet_id,processed_tweet
1,honble prime minister narendra modi releases manuscript commentaries scholars shlokas srimad
2,looking current situation country said bjp political party anymore cult
3,narendra modi leader anymore dealer
4,noticed aaps popularity rising fast bjps sinking arvind kejriwal rapidly emerging
5,style heres another poll would support narendra
6,bjps publicity cr plane travel cost cr bjp office delhi cr narendra modi
7,looking current situation country said bjp political party anymore cult
8,looking current situation country said bjp political party anymore cult
9,narendra modi popular democratically elected leader world since india
10,looking current situation country said bjp political party anymore cult
11,looking current situation country said bjp political party anymore cult
12,dr manmohan singh stronger prime minister narendra modi agree
13,looking current situation country said bjp political party anymore cult
14,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
15,c voter polls say kerala prefers rahul gandhi pm say prefer narendra modi pm media
16,looking current situation country said bjp political party anymore cult
17,dr manmohan singh stronger prime minister narendra modi agree
18,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
19,ji made didi make tea serve didi swallow whatever
20,modi shah model nominated working bjp trivendra slogan kaput fadnavis
21,honble pm took dose covaxin aiims sister p niveda administered covaxin bharatbiotech
22,narendra modi popular democratically elected leader world since india
23,public participation basis celebrations years independence pm narendra
24,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
25,looking current situation country said bjp political party anymore cult
26,narendra modi leader anymore dealer
27,looking current situation country said bjp political party anymore cult
28,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
29,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
30,narendra modi popular democratically elected leader world since india
31,narendra modi popular democratically elected leader world since india
32,really good video current situation india german
33,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
34,narendra modi dumping wife youth wrong rahul gandhi going personal foreign trips becomes
35,pm shri narendra modi participating along pm australia scott morrison pm japan yoshihide suga
36,modi shah model nominated working bjp trivendra slogan kaput fadnavis
37,modi shah model nominated working bjp trivendra slogan kaput fadnavis
38,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
39,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
40,modi shah model nominated working bjp trivendra slogan kaput fadnavis
41,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
42,narendra modi leader anymore rage
43,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
44,looking current situation country said bjp political party anymore cult
45,style heres another poll would support narendra
46,style heres another poll would support narendra
47,talking narendra modi
48,looking current situation country said bjp political party anymore cult
49,looking current situation country said bjp political party anymore cult
50,looking current situation country said bjp political party anymore cult
51,looking current situation country said bjp political party anymore cult
52,looking current situation country said bjp political party anymore cult
53,looking current situation country said bjp political party anymore cult
54,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
55,prime minister narendra modi releases volumes manuscript commentaries scholars shlokas bhagavad gita
56,narendra modi popular democratically elected leader world since india
57,modi worse covid believe snake narendra_modi foreign slogan
58,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
59,looking current situation country said bjp political party anymore cult
60,looking current situation country said bjp political party anymore cult
61,modi shah model nominated working bjp trivendra slogan kaput fadnavis
62,looking current situation country said bjp political party anymore cult
63,looking current situation country said bjp political party anymore cult
64,looking current situation country said bjp political party anymore cult
65,looking current situation country said bjp political party anymore cult
66,looking current situation country said bjp political party anymore cult
67,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
68,really good video current situation india german
69,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
70,style heres another poll would support narendra modi
71,looking current situation country said bjp political party anymore cult
72,signal suga raises hong kong south china sea xinjiang phone call
73,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
74,looking current situation country said bjp political party anymore cult
75,narendra modi asking questions narendra modi increased petrolprice country petrol100
76,international womens day pm modi buys products celebrate enterprise creativity indias
77,looking current situation country said bjp political party anymore cult
78,looking current situation country said bjp political party anymore cult
79,public participation basis celebrations years independence pm narendra modi
80,saffron india dream chhatrapati shivaji maharaj going fulfilled narendra modi maharaj
81,looking current situation country said bjp political party anymore cult
82,really good video current situation india german
83,modi worse covid believe snake narendra_modi foreign slogan
84,historical brigade maidan rally pm shri narendra modi election campaign kolkata
85,public participation basis celebrations years independence pm narendra modi
86,looking current situation country said bjp political party anymore cult
87,india fascist really yes previously sikhs infamously displayed
88,looking current situation country said bjp political party anymore cult
89,looking current situation country said bjp political party anymore cult
90,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
91,narendra modi leader anymore rage
92,looking current situation country said bjp political party anymore cult
93,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
94,looking current situation country said bjp political party anymore cult
95,looking current situation country said bjp political party anymore
96,looking current situation country said bjp political party anymore cult
97,looking current situation country said bjp political party anymore
98,narendra modi popular democratically elected leader world since india
99,looking current situation country said bjp political party anymore cult
100,narendra modi popular democratically elected leader world since india
