tweet_id,tweet_text
1,RT @AkashvaniAIR: Hon'ble Prime Minister Narendra Modi releases Manuscript with commentaries by 21 scholars on shlokas of Srimad Bhagavadgi…
2,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
3,RT @jaitrejait: @KanganaTeam 1. Narendra Modi is not just a leader anymore he is a DEALER !!! https://t.co/Nn1OQwWc6i
4,RT @vijnad: Have you noticed AAP's popularity is rising as fast as BJP's is sinking ? Arvind Kejriwal is rapidly emerging as an alternative…
5,"RT @manishakimball: @CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Mo…"
6,"RT @Sandeep79058171: @BankerDihaadi BJP's Publicity- 4500 Cr
Plane travel cost -4000 cr
BJP office in Delhi- 700 Cr
Narendra Modi Stadium-…"
7,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
8,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
9,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…"
10,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
11,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
12,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......"
13,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
14,"Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood)… https://t.co/ogs79HCo7n"
15,"RT @SaffronTommy: C Voter polls say 55% of Kerala prefers Rahul Gandhi as PM, while 33% say they prefer Narendra Modi as PM. The media will…"
16,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
17,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......"
18,"Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood)… https://t.co/hEYRGiXaUy"
19,@ANI @narendramodi ji made Didi @MamataOfficial to make tea and serve. Didi has to swallow whatever she did and sai… https://t.co/yPRABolYMu
20,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…"
21,"RT @blue21sky: Hon'ble PM @narendramodi took 1st dose of  #COVAXIN at AIIMS

Sister P Niveda administered #COVAXIN by #BharatBioTech to #PM…"
22,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…"
23,Public participation should be basis of celebrations for India’s 75 years of independence: PM Narendra Modi… https://t.co/OHPlFOI4L0
24,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…"
25,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
26,RT @jaitrejait: @KanganaTeam 1. Narendra Modi is not just a leader anymore he is a DEALER !!! https://t.co/Nn1OQwWc6i
27,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
28,RT @KhaledBeydoun: Narendra Modi is threatening to deport Rohingya Muslims in #India - who endured ethnic cleaning in Myanmar - back to Mya…
29,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…"
30,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…"
31,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…"
32,"RT @Die5chlauKatz3: Really good video on the current situation of India in German.
https://t.co/bK8pcORd5G"
33,"RT @VermaDaksha2000: Double face of Narendra Modi
2016 Assembly elections : Narendra  asked people to vote OUT the corrupt Mukul Roy, Shuve…"
34,RT @samavritti: Narendra Modi dumping his wife in her youth is no wrong ? But Rahul Gandhi going on personal foreign trips becomes the most…
35,"RT @harshmadhusudan: PM Shri Narendra Modi will be participating, along with PM of Australia Scott Morrison, PM of Japan Yoshihide Suga and…"
36,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…"
37,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…"
38,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…"
39,RT @KhaledBeydoun: Narendra Modi is threatening to deport Rohingya Muslims in #India - who endured ethnic cleaning in Myanmar - back to Mya…
40,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…"
41,RT @KhaledBeydoun: Narendra Modi is threatening to deport Rohingya Muslims in #India - who endured ethnic cleaning in Myanmar - back to Mya…
42,RT @jaitrejait: @KanganaTeam Narendra Modi is not just a leader anymore he is a RAGE!!! https://t.co/dDJSyDg5D5
43,"Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood)… https://t.co/TCfTZyNYJS"
44,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
45,"RT @manishakimball: @CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Mo…"
46,"RT @manishakimball: @CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Mo…"
47,@ThomasSowell Are you talking about Narendra Modi?
48,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
49,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
50,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
51,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
52,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
53,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
54,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…"
55,"RT @ANI: Prime Minister Narendra Modi releases 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Gita

J…"
56,"RT @davidfrawleyved: Narendra Modi is the most popular democratically elected leader in the world since 2014. And in India, the world’s lar…"
57,"RT @Manav_SS_Gupta: That Is All...👇

#Modi Is Worse Than Covid...
 
Believe A Snake But Not #Narendra_Modi....

Foreign Slogan          Ind…"
58,"RT @ChintuJainHS: Honourable PM Narendra Modi Ji ensure  JUSTICE for SUSHANT, DISHA, JIA....(countless deaths by bullywood) 

@DrJitendraSi…"
59,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
60,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
61,"RT @bainjal: The Modi Shah model of CM’s nominated by them not working for Bjp. “Narendra, Trivendra, Devendra” slogan kaput as Fadnavis &amp;…"
62,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
63,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
64,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
65,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
66,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
67,"RT @VermaDaksha2000: Double face of Narendra Modi
2016 Assembly elections : Narendra  asked people to vote OUT the corrupt Mukul Roy, Shuve…"
68,"RT @Die5chlauKatz3: Really good video on the current situation of India in German.
https://t.co/bK8pcORd5G"
69,"RT @VermaDaksha2000: Double face of Narendra Modi
2016 Assembly elections : Narendra  asked people to vote OUT the corrupt Mukul Roy, Shuve…"
70,"@CarneyJHouston @ThePollLady @KanganaTeam In her own style here's another poll :

Why would you not support Narendra Modi?"
71,RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…
72,"RT @PromoterBoxing: ‘Uncomfortable signal to China’: Japan’s #Suga raises Hong Kong, South China Sea, Xinjiang in phone call with India’s #…"
