tweet_id,tweet_text
1,@etherealwinie @markeulionrawr happy for u kak tallll
2,@1034Pramodh @urstrulyMahesh Happy Birthday bro 🥳
3,Finally on my happy spot #boobed
4,RT @jeongwooxharuto: Haruto w/ his fam. Aww airi holding ruru ㅠㅠ. I’m so happy for u Bb ❣️❣️ https://t.co/Hd0dbvezDV
5,"RT @aegyodobby: mashiho's eyes don't lie, he's so happy 🥺🥺
#마시호 #マシホ @treasuremembers https://t.co/kwRXPskspC"
6,@HunterSU_SAO happy birthday broski 🔥
7,@RobertONeill31 you must be happy to see your president again
8,RT @169cm_mashiho: Mashiho is finally home. Look how he is happy😭💜 https://t.co/fF95JMp3kB
9,"RT @jus2daily: Happy birthday to our princess, Coco! 🐶
#ChoiCocoWoofDay #최코코_귀빠진날 https://t.co/TvpLx8jb5E"
10,"RT @vincefelixx: Biggest comeback??
Making yourself happy again."
11,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
12,"RT @yoshiarchives: It feels like a dream to see Yoshi hugging his mom, but now, it's finally real. Yoshi we're very happy for you. ❤️

#왜_요…"
13,"RT @aegyodobby: they're the happiest now, i know. i'm so happy for them too. j-line is going back home 😭 https://t.co/yX1uQnKQdl"
14,"RT @LataSai20748830: St @Gurmeetramrahim ji says, quit the habit of smoking for happy and healthy heart . Smoking can also cause heart canc…"
15,@LTYZOLDYCK anw happy birthday xixi!! best wishes for you &lt;3 be happy and stay healthy ❤
16,"@bbrightvc You deserve the trophy! Congratulations! I'm so happy for you! 👏👏👏
#bbrightvc
https://t.co/egjP7rzErG"
17,RT @da_keebabyy01: I can sit in my room for hours and be happy as hell lol. Y’all need to learn how to be alone.
18,"RT @kimtaememo: happy them , happy me ^^ https://t.co/lYIsv61T0k"
19,RT @valand_rakesh: Believe in the positivity of your future. Do what makes you happy. Always keep trying.
20,"RT @JiminGlobal: You know Jiminie's happy when he starts doing his little dancey. 😆
https://t.co/YDcbNZU4L9"
21,RT @mashihokun_: MASHIHO HAS ARRIVED IN JAPAN HE SO HAPPY 😭 https://t.co/vZy1orMBii
22,"RT @CancerTerms: #Cancers are basically happy, optimistic people with a cheerful &amp; hopeful outlook on life."
23,RT @da_keebabyy01: I can sit in my room for hours and be happy as hell lol. Y’all need to learn how to be alone.
24,RT @da_keebabyy01: I can sit in my room for hours and be happy as hell lol. Y’all need to learn how to be alone.
25,🎬 happy death day 2 u
26,RT @FKAkai_: happy international women’s day to the baddest bitches alive https://t.co/2ysgTBAwXk
27,"RT @paulliteral: Dark horse yarn.

HAPPY 3MONTHS KODREA https://t.co/QyeakWv2Q9"
28,"RT @RAJUUPMAN14: Wishing You Very Happy Birthday Ms NagmaMorar ji. 
@SupriyaShrinate
#HappyBirthDay

#मोदी_तोमर_शर्म_करो https://t.co/g50gF…"
29,@quackity4k can u wish me a happy birthday big q
30,@RoArquette https://t.co/3KCIfYHec7. Start your day with divine and peaceful dhun to stay calm and happy throughout… https://t.co/9orOIVs7RC
31,I'm very happy https://t.co/qpTy7uHQAS
32,"RT @yoshiarchives: It feels like a dream to see Yoshi hugging his mom, but now, it's finally real. Yoshi we're very happy for you. ❤️

#왜_요…"
33,"RT @iamjenicca: Happy friday 😚
https://t.co/7clunrVVVb https://t.co/FSZoBloD4s"
34,@Josholzz @JhbTeam happy birthday
35,@GUBLERNATION happy birthday my king
36,"RT @johnnasaranghe: #TireOEspartilho

I am very happy to be able to destroy social femininity with you. Women's human rights will be better…"
37,RT @ArielDumas: Happy International Women’s Day! Tell your female colleagues what your salary is. 🙂
38,"I’m so happy for TREASURE’s J-line! 🤧

#YOSHI #MASHIHO #ASAHI #HARUTO"
39,CAL AND TRILLA RPING THE PROMPT FROM MY CAL FIC SO TRUE I AM SO UNBELIEVABLY HAPPY RN AM GONNA CRY /pos https://t.co/p4okDHQvvc
40,"RT @lesfemmefataIe: twitter: we’re so happy to introduce spaces where people can verbally connect in groups! :p 
the verbal connection in q…"
41,"RT @dump_pp: and they also have mutuals. destiny yarn? HAHAHA 

HAPPY 3MONTHS KODREA https://t.co/yP1d6GV1XM"
42,"RT @kobiegiggles: my highlight for yesterday’s ep. 

HAPPY 3MONTHS KODREA

https://t.co/DLYl4NPniq"
43,"RT @aroorai: Happy Ever After. 
#sheith https://t.co/3kxX7aNdgM"
44,"RT @OnlyFansCeleb: 🎉 ONLYFANS HAPPY TUESDAY 🎉

!DROP YOUR LINKS &amp; FOLLOW US!

💯 RT &amp; LIKE FOR MAX EXPOSURE 💯"
45,RT @jeongwooxharuto: Haruto w/ his fam. Aww airi holding ruru ㅠㅠ. I’m so happy for u Bb ❣️❣️ https://t.co/Hd0dbvezDV
46,@andyfrasco Happy to see shows back at George’s.  Podcast has been great!  With your growing musician network wante… https://t.co/6RkQQUaxBo
47,"RT @JustMyJulia: Happy Birthday, dearest @barrettojulia! You may feel that your struggle is all your own, but I'm here to tell you that I s…"
48,"Day 328 #MOC

Sky juice.

TFM sent the 2nd part of the registration form. Told my Mum about this and she was so hap… https://t.co/605IuM5vol"
49,RT @mart8ndo: Happy #MAR10Day I made a special video to remind you of whats to come... https://t.co/DudDOgS0l5
50,RT @sundarpichai: Just feels like yesterday when was working on the first chromebook #cr48. Might be time to update it to the latest versio…
51,RT @_veevyan: happy 5 year anniversary to this classic https://t.co/rKcq7Jekdn
52,"RT @AmyMacedo: Honestly if you take a moment to make a list of the things you’re grateful for in your life, you’ll realize just how fucking…"
53,it’s so embarrassing when someone cant be happy for you when something good happens... like ur insecurity is showing
54,RT @fIeursdumal: happy edser is my favorite concept 🤍 https://t.co/AwQ8ycqo9j
55,RT @_veevyan: happy 5 year anniversary to this classic https://t.co/rKcq7Jekdn
56,RT @hg_Coffee: Happy miku day https://t.co/u7HxOQVl95
57,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
58,i hate this feeling idk if i’m good or not idk if i’m happy or if i’m not bro idk and i hate that shit
59,"RT @MASHIB0INK: yoshi have been longing for his mom's hug for a long time and now look at this, i'm so happy for him 😭 https://t.co/Zwly6hu…"
60,RT @CHSeaglescheer: Wishing these Eagles a Happy Senior Night! 🦅💙🦅💙🦅💙🦅💙 https://t.co/QgxRsxDy0T
61,The fact that taeyong is able to show us all of his unreleased content makes me happy
62,happy international women’s month by da way if you didn’t know i luv women╰(*´︶`*)╯♡ https://t.co/MG5M2R6tnD
63,RT @nusrxt_a: If you made me happy for even a minute may Allah keep you happy for the rest of your life
64,"RT @MonstrBck: Happy birthday bro
 @Dil_81
#HBD_Dillu https://t.co/qhEdH0fFZc"
65,@cometarytwinkle If only my sisters are this happy when I treat them to lunch 😒 haha
66,RT @chikaaokaafor: Happy International Women’s Day❤️ https://t.co/EnxeM6gRSC
67,"@unkonfined Happy Morning ☀️🌺
Happy Day 🌹❣️
God Bless All 💞🙏
Love to enjoy the Joy 🥰❤️💕🥰
Always we talk about our p… https://t.co/dnR8Qs1CbY"
68,"RT @dq_kottakkal: Happy Birthday The Talented &amp; Gorgeous Actress @riturv, Super Excited To See You In Your Next Projects.
On Be Half Of @du…"
69,RT @acearanez420: sometimes happy memories hurts the most  .
70,"RT @BingSwap: 📣We are Happy to Announce BingSwap Official Airdrop is Now Live

🔷People who trade before 25 Feb on #Pancakeswap they are eli…"
71,"Their eyes look so happy. Now, they can finally say ""i am home"" 🥺💗 @treasuremembers @yg_treasure_jp https://t.co/dd1A9TqrnF"
72,RT @jeongwooxharuto: Haruto w/ his fam. Aww airi holding ruru ㅠㅠ. I’m so happy for u Bb ❣️❣️ https://t.co/Hd0dbvezDV
73,"RT @lesfemmefataIe: twitter: we’re so happy to introduce spaces where people can verbally connect in groups! :p 
the verbal connection in q…"
74,"Happy anniversary DINNER 🥂🎉 Always proud of you, Junmyeon. #SUHO #수호 @weareoneEXO https://t.co/NjLnvT2F5i"
75,"RT @AngelaRaeBoon1: @salaam Everyone should be happy about this but
every child (and adult) should be fed whether
in a pandemic or not.
Eve…"
76,"If not what? You will beat her or unstan her? What effontry? Listen up, unstan if u wanna do. She doesn't need your… https://t.co/NWX9KTZKlC"
77,So happy I started this journey with all these millions of people. I don’t know more than half of these people but… https://t.co/P5NTMXq16S
78,"Happy 58th Birthday

Frederick Jay ""Rick"" Rubin (/ˈruːbɪn/; born March 10, 1963) is an American record producer and… https://t.co/egaOgm8fqC"
79,RT @mashihokun_: MASHIHO HAS ARRIVED IN JAPAN HE SO HAPPY 😭 https://t.co/vZy1orMBii
80,RT @milkymengs: JAPANESE FANSITES ARE SO HAPPY TOO. IT'S THEIR TIME 📸 ♥️
81,"@FakeWelt That was a happy ending, look at those laughing faces🌝 https://t.co/oeCHaNqCLB"
82,"RT @VDTrendsOffl: Wishing  Our ""Chitra"" @riturv Madam A Very Happy Birthday 🎂

All The Very Best For Upcoming Project!

Behalf On All @TheD…"
83,"RT @SMukwakungu: 👋🏾 #Past3amSquad &amp; @FabAcademic

I worked so hard for the past 2 days that I was under the impression that today was gonna…"
84,"Happy birthday to you Dania.
From Mama."
85,"RT @GoddessBritney9: Happy International Women’s Day to all the great women out there. Losers send to hit women today, make them happy!"
86,"RT @vetur02: ❤️🖤🎶I'm in love with the shape of you🎶🖤❤️
Some happy dancing #Sheith for my gorgeous bae @T4KESH1 🥺🖤❤️🔥 based on our redlight…"
87,RT @sugaryook: i can’t say any word to describe how happy i am😭😭 he just literally said “don’t be jealous of lovesik who got update from hy…
88,"@KoDreaWWOFC Know job work

HAPPY 3MONTHS KODREA"
89,"RT @cremanata_art: happy birthday!! 🌷💕

#Zelda35 #nintendo https://t.co/XD8i82GeXI"
90,i hope mark knows how there are tons of people who appreciate him &amp; adore him for who he is bc the way markzens kee… https://t.co/dgAey5PCVg
91,RT @lanaamontanaa: Happy International Women’s Day 💐 https://t.co/2iUctaAbzv
92,"RT @azizbuneri58: A very Happy Birthday to @F_BALOCHI1 ! May this day bring you joyful memories and many happy returns!  
💐🎉🎊🎉🎊🪔🪔🪔🎉🎊
#فاطمہ…"
93,"RT @teutubbiesnoona: Japanese members finally able to go home 😭 I'm so happy for them !! 

#TREASURE #트레저 #トレジャー 
@treasuremembers https://…"
94,"RT @TheMissGhie: They're genuinely happy when together. No one can change my mind. 💖

✨ DonKiss Family ✨
#DonKiss | #DonKissFam 

https://t…"
95,"RT @hiral4congress: We get it, @RepDavid. Massive handouts to wealthy corporations are more to your liking.

Perhaps a chart will help you…"
96,"RT @BLCafeHub: Happy Birthday Joong Archen! 🥳🎂💙 @ChenRcj 

#20BesideJoong 
#HBDJoong20th https://t.co/9YI84ODUnH"
97,RT @PARKPILATESS: just look at how happy they are to finally go back home to japan!! even with their masks on you can see the happiness in…
98,RT @janyc610: Getting better?? I think so lol using #elite icons and a wallpaper I found on #telegram and edited a bit.. Pretty happy with…
99,@kureiavortex Hey!!!! Happy for you!!!
100,RT @jeongwooxharuto: Haruto w/ his fam. Aww airi holding ruru ㅠㅠ. I’m so happy for u Bb ❣️❣️ https://t.co/Hd0dbvezDV
