tweet_id,tweet_text
1,"RT @paulliteral: Dark horse yarn.

HAPPY 3MONTHS KODREA https://t.co/QyeakWv2Q9"
2,I'm very happy https://t.co/qpTy7uHQAS
3,"RT @iamjenicca: Happy friday 😚
https://t.co/7clunrVVVb https://t.co/FSZoBloD4s"
4,@Josholzz @JhbTeam happy birthday
5,RT @ArielDumas: Happy International Women’s Day! Tell your female colleagues what your salary is. 🙂
6,"I’m so happy for TREASURE’s J-line! 🤧

#YOSHI #MASHIHO #ASAHI #HARUTO"
7,"RT @dump_pp: and they also have mutuals. destiny yarn? HAHAHA 

HAPPY 3MONTHS KODREA https://t.co/yP1d6GV1XM"
8,"RT @kobiegiggles: my highlight for yesterday’s ep. 

HAPPY 3MONTHS KODREA

https://t.co/DLYl4NPniq"
9,"RT @aroorai: Happy Ever After. 
#sheith https://t.co/3kxX7aNdgM"
10,"RT @OnlyFansCeleb: 🎉 ONLYFANS HAPPY TUESDAY 🎉

!DROP YOUR LINKS &amp; FOLLOW US!

💯 RT &amp; LIKE FOR MAX EXPOSURE 💯"
11,RT @jeongwooxharuto: Haruto w/ his fam. Aww airi holding ruru ㅠㅠ. I’m so happy for u Bb ❣️❣️ https://t.co/Hd0dbvezDV
12,@andyfrasco Happy to see shows back at George’s.  Podcast has been great!  With your growing musician network wante… https://t.co/6RkQQUaxBo
13,"RT @JustMyJulia: Happy Birthday, dearest @barrettojulia! You may feel that your struggle is all your own, but I'm here to tell you that I s…"
14,"Day 328 #MOC

Sky juice.

TFM sent the 2nd part of the registration form. Told my Mum about this and she was so hap… https://t.co/605IuM5vol"
15,RT @mart8ndo: Happy #MAR10Day I made a special video to remind you of whats to come... https://t.co/DudDOgS0l5
16,RT @sundarpichai: Just feels like yesterday when was working on the first chromebook #cr48. Might be time to update it to the latest versio…
17,RT @_veevyan: happy 5 year anniversary to this classic https://t.co/rKcq7Jekdn
18,"RT @AmyMacedo: Honestly if you take a moment to make a list of the things you’re grateful for in your life, you’ll realize just how fucking…"
19,it’s so embarrassing when someone cant be happy for you when something good happens... like ur insecurity is showing
20,RT @fIeursdumal: happy edser is my favorite concept 🤍 https://t.co/AwQ8ycqo9j
21,RT @_veevyan: happy 5 year anniversary to this classic https://t.co/rKcq7Jekdn
22,RT @hg_Coffee: Happy miku day https://t.co/u7HxOQVl95
23,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
24,i hate this feeling idk if i’m good or not idk if i’m happy or if i’m not bro idk and i hate that shit
25,"RT @MASHIB0INK: yoshi have been longing for his mom's hug for a long time and now look at this, i'm so happy for him 😭 https://t.co/Zwly6hu…"
26,RT @CHSeaglescheer: Wishing these Eagles a Happy Senior Night! 🦅💙🦅💙🦅💙🦅💙 https://t.co/QgxRsxDy0T
27,The fact that taeyong is able to show us all of his unreleased content makes me happy
