tweet_id,processed_tweet
1,narendra jumla modi aankh china italian marines termites
2,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
3,looking forward working pm modi develop warm new israeli pm naftali
4,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
5,pm narendra modi deliver keynote address vivatech kl
6,looking forward working pm modi develop warm new israeli pm naftali
7,history bharatvarsh congress probably first opposition party mocking elected prime minister
8,pm narendra modi ji years back wished amaravati become centre economic growth revenue generation
9,prime minister narendra modi speaking indias strides world tech startup
10,dec prime minister narendra modi lit vijay national war memorial
11,last years around lakh hectares forest cover added india pm modi un via namo
12,dec pm shri narendra modi lit swarnimvijaymashaal eternal flame national war
13,pm modi un india working towards restoring crore hectares degraded land via namo
14,pm shri narendra modi invites share ideas suggestions topics address upcoming edition
15,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life good
16,narendra jumla modi aankh china italian marines termites
17,prime minister shri narendra modi deliver keynote address edition vivatech today
18,watch authoritarian home democrat abroad real narendra modi report
19,looking forward working pm modi develop warm new israeli pm naftali bennett
20,watch authoritarian home democrat abroad real narendra modi report
21,good morning daily reminder sanghis hindus narendra modi india chanda chors rambhakts
22,watch authoritarian home democrat abroad real narendra modi report
23,pm narendra modi deliver keynote address vivatech
24,narendra modi said india willing share covid expertise country needs expertise fudge covid data want
25,seven years narendra modi foreign policy establishment deeply divided country slips
26,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
27,dec prime minister narendra modi lit vijay national war memorial
28,narendra modi also abandoned official wife jashodaben braveindianwomen womensday
29,difference way govt percieves challenges pakistan china hinted fact pm cabinet marked
30,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
31,good morning daily reminder sanghis hindus narendra modi india chanda chors rambhakts
32,prime minister narendra modi could replied politics politics count stand counted
33,honble pm sri narendra modi ji put forth idea general assembly sep14
34,prime minister shri narendra modi deliver keynote address edition vivatech june
35,watch authoritarian home democrat abroad real narendra modi report
36,narendra jumla modi aankh china italian marines termites
37,government practise india preaches world congress leader p chidambaram said monday day
38,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
39,pm modi un india working towards restoring crore hectares degraded land
40,two award one one exemplary literature
41,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
42,pm narendra modi deliver keynote address vivatech
43,dec prime minister narendra modi lit vijay national war memorial
44,watch authoritarian home democrat abroad real narendra modi report
45,looking forward working pm modi develop warm new israeli pm naftali
46,request tag pmo narendra modi postponeneetugtilloctober
47,history bharatvarsh congress probably first opposition party mocking elected prime minister
48,narendra jumla modi aankh china italian marines termites
49,history bharatvarsh congress probably first opposition party mocking elected prime minister
50,watch authoritarian home democrat abroad real narendra modi report
51,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
52,narendra jumla modi aankh china italian marines termites
53,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
54,top scorers cooking oil petrol diesel l k advani
55,looking forward working pm modi develop warm new israeli pm naftali
56,top scorers cooking oil petrol diesel l k advani
57,prime minister shri narendra modi addressing vivatech via conferencing today evening
58,really shameful step taken hindu militants minorities breaked
59,mansi soni mansisoni snoopgate amitshah instructions narendra modi cm
60,history bharatvarsh congress probably first opposition party mocking elected prime minister
61,prime minister narendra modi deliver keynote address edition vivatech june
62,pm deliver keynote address edition vivatech june via namo app
63,madhya pradesh cm shivraj singh chouhan says meet prime minister narendra modi delhi tomorrow file photo
64,watch authoritarian home democrat abroad real narendra modi report
65,mansi soni mansisoni snoopgate amitshah instructions narendra modi cm
66,history bharatvarsh congress probably first opposition party mocking elected prime minister
67,watch authoritarian home democrat abroad real narendra modi report
68,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
69,pm shri narendra modi invites share ideas suggestions topics address upcoming edition
70,someone said naftali bennett acknowledge modijis congratulatory message looking forward working
71,history bharatvarsh congress probably first opposition party mocking elected prime minister
72,good morning israel good morning pm israel congratulations naftali bennet amen looking forward
73,looking forward working pm modi develop warm new israeli pm naftali
74,history bharatvarsh congress probably first opposition party mocking elected prime minister
75,amid battle cancer kirron kher gets greetings prime minister narendra modi wishing long life
76,new article strengthening indias federal structure year tenure prime minister
77,looking forward working pm modi develop warm new israeli pm naftali
78,pm shri narendra modi deliver keynote address edition vivatech today vivatech one
79,details snoopgate available report thanks expose
80,pm narendra modi deliver keynote address vivatech
81,history bharatvarsh congress probably first opposition party mocking elected prime minister
82,fake coronavirus tests may helped fuel indian outbreak new york times since every thing
83,watch authoritarian home democrat abroad real narendra modi report
84,history bharatvarsh congress probably first opposition party mocking elected prime minister
85,pm modi un india working towards restoring crore hectares degraded land
86,dec prime minister narendra modi lit vijay national war memorial
87,good morning israel good morning pm israel naftali bennet congratulations amen looking forward
88,watch authoritarian home democrat abroad real narendra modi report
89,honble pm india plight bank retirees urgency constitute banking pay commission sign
90,dec prime minister narendra modi lit vijay national war memorial
91,narendra modi nothing inflation wasting public money prime ministers
92,india longer democracy electoral autocracy swedish institute
93,watch authoritarian home democrat abroad real narendra modi report
94,action legal position government initiate action relevant
95,india longer democracy electoral autocracy swedish institute
96,history bharatvarsh congress probably first opposition party mocking elected prime minister
97,history bharatvarsh congress probably first opposition party mocking elected prime minister
98,last years around lakh hectares forest cover added india pm modi un
99,request tag pmo narendra modi postponeneetugtilloctober
100,dec prime minister narendra modi lit vijay national war memorial
