tweet_id,tweet_text
1,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
2,RT @thering26: Happy Women's Day https://t.co/AhGFwFevwh
3,RT @CursedMp4: Happy #NationalSusDay everyone! https://t.co/BqVQssbIwj
4,RT @ParatopeUSA: Happy to announce another partnership with @scarletmoon_
5,"RT @WildpipM: We should have met in Italy last summer with @kinetic_vibe, but at least I am happy to have the chance to meet you all virtua…"
6,"RT @Russo_Brothers: Happy International Women’s Day everyone! There’s SOOO many wonderful women in our lives, but it all started with Mom..…"
7,"Be yourself, express how you feel or else you'll never be happy"
8,"@itsamike Happy birthday, Mike! Hope you have a great day"
9,"I love him and want him to eat delicious food and be healthy, take care of himself and most of all BE HAPPY https://t.co/BUzznGaaau"
10,RT @TheFilmUpdates: Happy Birthday to Oscar Isaac. The star of the upcoming Marvel series #MoonKnight and #Dune turns 42 today. https://t.c…
11,RT @FKAkai_: happy international women’s day to the baddest bitches alive https://t.co/2ysgTBAwXk
12,tbh he looks so sad like he is putting on a fake smile like i make this exact face when i’m pretending to be happy… https://t.co/n1Q3v0DsSJ
13,"RT @TinyTANofficial: May love and courage always be with you, on this most silent of nights.

#Happy_SUGA_Day #TinyTAN #Birth_Flower #Larch…"
14,Spring is almost here and I’m just so happy because we all could use more vitamin D.
15,RT @rockerspunch: @promisne happy birthday ya &lt;33
16,"RT @giKENahanglan: Happy 600k viewssssss

REQUEST @SB19Official @MTV #FridayLivestream 

STREAM SB19WHAT 
#SB19WhatMVOutNow 
#SB19"
17,@TerrieRucker1 Today was my grandmas birthday. She would have been 93 today. Happy Birthday to Betty!  🎂🎈
18,RT @FKAkai_: happy international women’s day to the baddest bitches alive https://t.co/2ysgTBAwXk
19,RT @lanaamontanaa: Happy International Women’s Day 💐 https://t.co/2iUctaAbzv
20,RT @intensexplicit: @everytimemix happy bday
21,"RT @starwars: Happy birthday to the hotshot, flyboy, hero of the resistance, Oscar Isaac. https://t.co/zkldZin9fH"
