tweet_id,processed_tweet
1,actor mithun chakraborty set share stage prime minister narendra modi rally march
2,looking current situation country said bjp political party anymore cult
3,looking current situation country said bjp political party anymore cult
4,looking current situation country said bjp political party anymore cult
5,looking current situation country said bjp political party anymore cult
6,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
7,looking current situation country said bjp political party anymore cult
8,looking current situation country said bjp political party anymore cult
9,looking current situation country said bjp political party anymore cult
10,modi govts achievement bankers_on_strike
11,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
12,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
13,ruination brahmin unreserved lives current bjp government brutal narendra damodardas modi
14,honble pm took dose covaxin aiims sister p niveda administered covaxin bharatbiotech
15,narendra modi popular democratically elected leader world since india
16,narendra modi popular democratically elected leader world since india
17,modi worse covid believe snake narendra_modi foreign slogan
18,signal suga raises hong kong south china sea xinjiang phone call
19,looking current situation country said bjp political party anymore cult
20,honble prime minister narendra modi releases manuscript commentaries scholars shlokas srimad
21,looking current situation country said bjp political party anymore cult
22,narendra modi leader anymore dealer
23,noticed aaps popularity rising fast bjps sinking arvind kejriwal rapidly emerging
24,style heres another poll would support narendra
25,bjps publicity cr plane travel cost cr bjp office delhi cr narendra modi
26,looking current situation country said bjp political party anymore cult
27,looking current situation country said bjp political party anymore cult
28,narendra modi popular democratically elected leader world since india
29,looking current situation country said bjp political party anymore cult
30,looking current situation country said bjp political party anymore cult
31,dr manmohan singh stronger prime minister narendra modi agree
32,looking current situation country said bjp political party anymore cult
33,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
34,c voter polls say kerala prefers rahul gandhi pm say prefer narendra modi pm media
35,looking current situation country said bjp political party anymore cult
36,dr manmohan singh stronger prime minister narendra modi agree
37,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
38,ji made didi make tea serve didi swallow whatever
39,modi shah model nominated working bjp trivendra slogan kaput fadnavis
40,honble pm took dose covaxin aiims sister p niveda administered covaxin bharatbiotech
41,narendra modi popular democratically elected leader world since india
42,public participation basis celebrations years independence pm narendra
43,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
44,looking current situation country said bjp political party anymore cult
45,narendra modi leader anymore dealer
46,looking current situation country said bjp political party anymore cult
47,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
48,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
49,narendra modi popular democratically elected leader world since india
50,narendra modi popular democratically elected leader world since india
51,really good video current situation india german
52,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
53,narendra modi dumping wife youth wrong rahul gandhi going personal foreign trips becomes
54,pm shri narendra modi participating along pm australia scott morrison pm japan yoshihide suga
55,modi shah model nominated working bjp trivendra slogan kaput fadnavis
56,modi shah model nominated working bjp trivendra slogan kaput fadnavis
57,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
58,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
59,modi shah model nominated working bjp trivendra slogan kaput fadnavis
60,narendra modi threatening deport rohingya muslims india endured ethnic cleaning myanmar back
61,narendra modi leader anymore rage
62,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
63,looking current situation country said bjp political party anymore cult
64,style heres another poll would support narendra
65,style heres another poll would support narendra
66,talking narendra modi
67,looking current situation country said bjp political party anymore cult
68,looking current situation country said bjp political party anymore cult
69,looking current situation country said bjp political party anymore cult
70,looking current situation country said bjp political party anymore cult
71,looking current situation country said bjp political party anymore cult
72,looking current situation country said bjp political party anymore cult
73,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
74,prime minister narendra modi releases volumes manuscript commentaries scholars shlokas bhagavad gita
75,narendra modi popular democratically elected leader world since india
76,modi worse covid believe snake narendra_modi foreign slogan
77,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths bullywood
78,looking current situation country said bjp political party anymore cult
79,looking current situation country said bjp political party anymore cult
80,modi shah model nominated working bjp trivendra slogan kaput fadnavis
81,looking current situation country said bjp political party anymore cult
82,looking current situation country said bjp political party anymore cult
83,looking current situation country said bjp political party anymore cult
84,looking current situation country said bjp political party anymore cult
85,looking current situation country said bjp political party anymore cult
86,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
87,really good video current situation india german
88,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
89,style heres another poll would support narendra modi
90,looking current situation country said bjp political party anymore cult
91,signal suga raises hong kong south china sea xinjiang phone call
92,honourable pm narendra modi ji ensure justice sushant disha jia countless deaths
93,looking current situation country said bjp political party anymore cult
94,narendra modi asking questions narendra modi increased petrolprice country petrol100
95,international womens day pm modi buys products celebrate enterprise creativity indias
96,looking current situation country said bjp political party anymore cult
97,looking current situation country said bjp political party anymore cult
98,public participation basis celebrations years independence pm narendra modi
99,saffron india dream chhatrapati shivaji maharaj going fulfilled narendra modi maharaj
100,looking current situation country said bjp political party anymore cult
